,COD_IPRESS,x,y,SECTOR_R
579,00029746,-11.97814649,-77.05245996,PRIVADO
580,00029747,-11.9912456,-77.07383595,PRIVADO
581,00017829,,,PRIVADO
582,00017815,-12.00136833,-76.98681833,PUBLICO
583,00017881,-11.9271375,-77.074471,PUBLICO
584,00018935,,,PRIVADO
585,00018166,,,PRIVADO
586,00017967,,,PRIVADO
587,00018022,,,PRIVADO
588,00020318,,,PRIVADO
589,00025224,,,PRIVADO
590,00029645,-6.2295734,-77.8718628,PRIVADO
591,00017860,-6.7828969,-79.8424321,PRIVADO
592,00017971,,,PRIVADO
593,00018057,,,PRIVADO
594,00018009,,,PRIVADO
595,00017945,,,PRIVADO
596,00029041,,,PRIVADO
597,00029367,-3.7436735,-73.2516326,PRIVADO
598,00017915,,,PRIVADO
599,00021560,-18.01704132,-70.25626262,PRIVADO
600,00017734,,,PRIVADO
601,00017715,-6.227855,-77.870565,PUBLICO
602,00017716,,,PRIVADO
603,00028629,-12.0311341,-77.0121437,PRIVADO
604,00017872,,,PRIVADO
605,00029388,,,PRIVADO
606,00017843,,,PRIVADO
607,00017769,,,PRIVADO
608,00017733,-12.1205515,-77.0032508,PRIVADO
609,00018190,-12.04057541,-75.2289864,PUBLICO
610,00018055,,,PRIVADO
611,00017738,,,PRIVADO
612,00018221,,,PRIVADO
613,00029425,-9.9207648,-76.2410843,PRIVADO
614,00029678,-11.9924652,-77.0716631,PRIVADO
615,00015687,,,PRIVADO
616,00015907,,,PRIVADO
617,00015823,,,PRIVADO
618,00015800,,,PRIVADO
619,00015767,,,PRIVADO
620,00016307,,,PRIVADO
621,00029482,-11.5847055,-77.2721672,PUBLICO
622,00016365,,,PRIVADO
623,00016428,,,PRIVADO
624,00015891,,,PRIVADO
625,00015851,,,PRIVADO
626,00015852,-3.75106995,-73.24605789,PRIVADO
627,00015918,,,PRIVADO
628,00015932,,,PRIVADO
629,00029348,,,PRIVADO
630,00015925,-12.1273097,-77.0254849,PRIVADO
631,00015982,,,PRIVADO
632,00015984,,,PRIVADO
633,00016163,,,PRIVADO
634,00015908,,,PRIVADO
635,00018063,,,PRIVADO
636,00029351,-12.00344571,-76.87573407,PRIVADO
637,00029352,-12.04388631,-76.98125086,PRIVADO
638,00016770,,,PRIVADO
639,00015948,,,PRIVADO
640,00016156,,,PRIVADO
641,00015870,,,PRIVADO
642,00015949,,,PRIVADO
643,00016023,,,PRIVADO
644,00016060,,,PRIVADO
645,00016780,,,PRIVADO
646,00015917,,,PRIVADO
647,00029483,-13.0531073,-76.3504526,PUBLICO
648,00016013,,,PRIVADO
649,00016085,-12.0707706,-77.0618555,PRIVADO
650,00015900,,,PRIVADO
651,00015875,-18.01720457,-70.25648793,PRIVADO
652,00015877,,,PRIVADO
653,00015880,-3.72675781,-73.24748926,PRIVADO
654,00016299,-13.52600641,-71.98224727,PRIVADO
655,00029577,-12.1289499,-77.0182103,PRIVADO
656,00015892,,,PRIVADO
657,00016007,,,PRIVADO
658,00016068,,,PRIVADO
659,00015983,-11.9314629,-77.0445634,PRIVADO
660,00015879,,,PRIVADO
661,00029692,-9.9207648,-76.2410843,PRIVADO
662,00015764,,,PRIVADO
663,00018835,,,PRIVADO
664,00015760,,,PRIVADO
665,00016073,,,PRIVADO
666,00015799,-11.87599746,-77.03216277,PRIVADO
667,00015727,,,PRIVADO
668,00015729,,,PRIVADO
669,00015769,,,PRIVADO
670,00029487,,,PUBLICO
671,00015802,-11.898746,-77.037906,PRIVADO
672,00015818,,,PRIVADO
673,00015826,,,PRIVADO
674,00016312,,,PRIVADO
675,00015868,,,PRIVADO
676,00015995,-8.38114154,-74.5377709,PRIVADO
677,00015766,-11.93194872,-76.69189773,PRIVADO
678,00029504,-13.5305268,-71.9844654,PRIVADO
679,00015847,,,PRIVADO
680,00015914,-12.0382746,-74.03341427,PUBLICO
681,00015963,-14.07345167,-75.72498333,PRIVADO
682,00015771,-9.30150197,-76.00076669,PUBLICO
683,00029201,-13.52423971,-71.9572205,PRIVADO
684,00015803,-12.10679966,-77.04027963,PRIVADO
685,00015913,,,PRIVADO
686,00015795,,,PRIVADO
687,00015820,-12.0064418,-77.0115826,PRIVADO
688,00015804,,,PRIVADO
689,00028914,-12.0055143,-77.0998065,PRIVADO
690,00029165,,,PRIVADO
691,00016397,,,PRIVADO
692,00015809,,,PRIVADO
693,00016052,,,PRIVADO
694,00016199,,,PRIVADO
695,00016071,,,PRIVADO
696,00029046,-12.067628,-76.957715,PRIVADO
